MEETPUNT_IDENTIFICATIE,LOCATIE_CODE,GROOTHEID_OMSCHRIJVING,WAARNEMINGDATUM,REFERENTIE,NUMERIEKEWAARDE
Driel boven,DRIELBVN,Temperatuur,02-01-2019,10:30:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,10:40:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,10:50:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,11:00:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,11:10:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,11:20:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,11:30:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,11:40:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,11:50:00,"6,9"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,12:00:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,12:10:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,12:20:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,12:30:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,12:40:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,12:50:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,13:00:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,13:10:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,13:20:00,"6,9"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,13:30:00,"6,9"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,13:40:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,13:50:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,14:00:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,14:10:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,14:20:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,14:30:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,14:40:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,14:50:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,15:00:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,15:10:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,15:20:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,15:30:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,15:40:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,15:50:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,16:00:00,"6,8"
