MEETPUNT_IDENTIFICATIE,LOCATIE_CODE,WAARNEMINGDATUM,Average Temperatuur
Borgharen stuw.,BORGHRSW,19-12-2019,8.0
Borgharen stuw.,BORGHRSW,20-01-2019,6.0
Borgharen stuw.,BORGHRSW,20-02-2019,7.0
Borgharen stuw.,BORGHRSW,20-03-2020,11.0
Borgharen stuw.,BORGHRSW,20-04-2019,14.0
Borgharen stuw.,BORGHRSW,20-04-2020,16.0
Borgharen stuw.,BORGHRSW,20-05-2020,18.0
Borgharen stuw.,BORGHRSW,20-06-2019,22.0
Borgharen stuw.,BORGHRSW,20-06-2020,22.0
Borgharen stuw.,BORGHRSW,20-07-2019,22.0
Borgharen stuw.,BORGHRSW,20-07-2020,22.0
Borgharen stuw.,BORGHRSW,20-08-2020,25.0
Borgharen stuw.,BORGHRSW,20-09-2019,18.0
Borgharen stuw.,BORGHRSW,20-09-2020,20.0
Borgharen stuw.,BORGHRSW,20-11-2019,8.0
Borgharen stuw.,BORGHRSW,20-11-2020,11.0
Borgharen stuw.,BORGHRSW,21-01-2019,5.0
Borgharen stuw.,BORGHRSW,21-02-2020,8.0
Borgharen stuw.,BORGHRSW,21-03-2019,9.0
Borgharen stuw.,BORGHRSW,21-04-2019,15.0
Borgharen stuw.,BORGHRSW,21-04-2020,16.0
Borgharen stuw.,BORGHRSW,21-05-2019,16.0
Borgharen stuw.,BORGHRSW,21-05-2020,19.0
Borgharen stuw.,BORGHRSW,21-06-2019,22.0
Borgharen stuw.,BORGHRSW,21-07-2019,22.0
Borgharen stuw.,BORGHRSW,21-07-2020,22.0
Borgharen stuw.,BORGHRSW,21-08-2019,21.0
Borgharen stuw.,BORGHRSW,21-09-2019,18.0
Borgharen stuw.,BORGHRSW,21-09-2020,20.0
Borgharen stuw.,BORGHRSW,21-10-2019,15.0
Borgharen stuw.,BORGHRSW,21-10-2020,13.0
Borgharen stuw.,BORGHRSW,21-11-2019,8.0
Borgharen stuw.,BORGHRSW,21-11-2020,11.0
Borgharen stuw.,BORGHRSW,21-12-2020,8.0
Borgharen stuw.,BORGHRSW,22-01-2019,5.0
Borgharen stuw.,BORGHRSW,22-01-2020,7.0
Borgharen stuw.,BORGHRSW,22-02-2020,8.0
Borgharen stuw.,BORGHRSW,22-03-2019,9.0
Borgharen stuw.,BORGHRSW,22-03-2020,10.0
Borgharen stuw.,BORGHRSW,22-04-2019,15.0
Borgharen stuw.,BORGHRSW,22-04-2020,16.0
Borgharen stuw.,BORGHRSW,22-05-2019,16.0
Borgharen stuw.,BORGHRSW,22-05-2020,20.0
Borgharen stuw.,BORGHRSW,22-06-2019,22.0
